analysis_id,wn4ybmx69123sv6
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
pvalue,0.2102678
gene_symbol,Dnajc8
