parameter_name,Pericardium Morphology
pvalue,0.718324
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
analysis_id,6x23k5b61ash6o0
mouse_life_stage,Early adult
