gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
pvalue,0.4099996
analysis_id,d7b970n64x2swg4
mouse_strain,C57BL
parameter_name,Startle response
