analysis_id,x440u4z3n195jo8
pvalue,0.1153493
parameter_name,Startle response
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
