parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
analysis_id,89e03bk3t9if333
gene_symbol,Mapkap1
pvalue,0.4242245
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,Early adult
