parameter_name,Average duration
analysis_id,98pw31a51534g9a
pvalue,0.1405558
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
