parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
analysis_id,29408y1m66p4kxx
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6058728
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
