parameter_name,B Cells
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
parameter_id,IMPC_IMM_063_001
analysis_id,4jvl3iz2fgwb4e9
pvalue,0.3940177
mouse_life_stage,Early adult
mouse_strain,C57BL
