gene_symbol,Mgst2
mouse_strain,C57BL
parameter_name,Head morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
pvalue,0.3227012
analysis_id,317460398qj7ivf
parameter_id,MGP_CSD_064_001
