gene_symbol,Jun
mouse_strain,C57BL
gene_accession_id,MGI:96646
analysis_id,94x8pdhc25fjr79
pvalue,0.8379839
mouse_life_stage,E9.5
parameter_id,MGP_IMM_033_001
parameter_name,Total NK cells - % of CD45+
