parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
pvalue,0.8384332
gene_symbol,Npbwr1
mouse_strain,C57BL
analysis_id,0k269i705ve3pdq
