parameter_name,Time mobile light side
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ewv1363h6gb731b
gene_symbol,F2
gene_accession_id,MGI:88380
pvalue,0.4040409
parameter_id,JAX_LDT_003_001
