analysis_id,q418978zkx02185
gene_symbol,Secisbp2l
parameter_id,M-G-P_016_001_001
mouse_life_stage,Middle aged adult
parameter_name,White blood cell-count
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.5492228
