analysis_id,5917pxy839420dh
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc2a8
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:1860103
pvalue,0.3560946
