mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9026349
gene_accession_id,MGI:1338849
gene_symbol,S100a3
parameter_name,Heart weight
analysis_id,ldxs6d5gt78w1y6
parameter_id,IMPC_HWT_008_001
