analysis_id,jkw2y1p35itbbu7
pvalue,0.8268495
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
parameter_name,Light side time spent
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
