parameter_name,CV
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
analysis_id,1dt8su4tsd4est3
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
gene_symbol,Kcng1
pvalue,0.2157576
