parameter_name,Latency to center entry
pvalue,0.7446708
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
analysis_id,g49rygo7x6swto2
