analysis_id,649qko6a38310y6
parameter_id,IMPC_IMM_071_001
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
pvalue,0.7808505
mouse_strain,C57BL
