analysis_id,1sp7r9e4v1972l9
gene_symbol,Slc17a9
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1919107
pvalue,0.6386589
