analysis_id,7m20xv314eo6278
mouse_strain,C57BL
parameter_name,B2B Cells
mouse_life_stage,E18.5
gene_symbol,Zyg11b
pvalue,0.7945435
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:2685277
