analysis_id,b2xxhq5x0585hvt
gene_symbol,Slc45a3
pvalue,0.2091686
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_001_001
