analysis_id,ix46v5u5z6td21i
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
pvalue,0.785635
