gene_symbol,F2
gene_accession_id,MGI:88380
pvalue,0.6777975
analysis_id,f976cf179y5p263
parameter_name,Latency to center entry
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
