analysis_id,3b84kz9dk7fb8a6
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,E9.5
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:87968
pvalue,0.2243709
gene_symbol,Ahcy
