gene_symbol,Ivd
analysis_id,73p37o44u3nlr62
mouse_strain,C57BL
parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
pvalue,0.7519929
gene_accession_id,MGI:1929242
