parameter_name,Spleen weight
mouse_strain,C57BL
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
pvalue,0.9149428
analysis_id,5f40q36b7c12z05
