parameter_name,DN NKT cells
pvalue,0.9825513
gene_accession_id,MGI:95835
analysis_id,j6kjpr6lyeqhc88
gene_symbol,Hspa5
parameter_id,IMPC_IMM_013_001
mouse_strain,C57BL
mouse_life_stage,E9.5
