analysis_id,4gu9u1j5r324h36
mouse_strain,C57BL
parameter_name,LDL-cholesterol
gene_symbol,Sla2
gene_accession_id,MGI:1925049
pvalue,0.1727657
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
