analysis_id,73095ngtjhe2zgd
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.7762661
parameter_name,Body Weight
