analysis_id,85ij3qv402403u4
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1918764
pvalue,0.8430323
mouse_life_stage,Early adult
gene_symbol,Sfpq
mouse_strain,C57BL
