analysis_id,nfqfnbrd10bi862
mouse_strain,C57BL
pvalue,0.9231712
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
