analysis_id,p86uyaftxpip642
mouse_strain,C57BL
parameter_name,Mean left eye lens density
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.09860619
mouse_life_stage,E12.5
