gene_symbol,Traf6
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
pvalue,0.251315
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
mouse_strain,C57BL
analysis_id,97wuo93i16z22rl
