parameter_name,Lower teeth appearance
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
analysis_id,oxr41m011642886
pvalue,0.3740946
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
