analysis_id,m7akgbt42z3bw62
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
gene_symbol,Frmpd1
parameter_id,ESLIM_011_001_009
pvalue,0.7542691
mouse_strain,C57BL
parameter_name,PP3 + pulse startle magnitude
