gene_symbol,Psmd14
analysis_id,77b6sbimd69g958
gene_accession_id,MGI:1913284
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
pvalue,0.7398915
mouse_strain,C57BL
