gene_symbol,Cpa3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
analysis_id,m180zkcyno48r6p
pvalue,0.471434
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
