analysis_id,7vte41164nrv2oz
pvalue,0.4238566
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
gene_symbol,Hpca
mouse_life_stage,Early adult
parameter_name,Retina (combined)
gene_accession_id,MGI:1336200
