parameter_name,Tremor
analysis_id,1x2r6761f107vv0
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:105072
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.316903
gene_symbol,Rab22a
