gene_symbol,Cntfr
parameter_name,Total B cells - % of CD45+
parameter_id,MGP_IMM_041_001
analysis_id,6ja42jm2y63tv4a
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.06684557
gene_accession_id,MGI:99605
