parameter_name,Fat/Body weight
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
analysis_id,6jl9q3h930sh7a1
pvalue,0.8472774
mouse_strain,C57BL
gene_symbol,Hrnr
parameter_id,JAXLA_DXA_009_001
