analysis_id,75962o7q677223b
gene_accession_id,MGI:1924315
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Ints7
pvalue,0.8988261
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_069_001
