analysis_id,q0542k4h897n76v
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
pvalue,0.08961203
gene_symbol,Ssr2
mouse_life_stage,Early adult
