analysis_id,1to1idk6wp899w6
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
pvalue,0.4886299
mouse_life_stage,Early adult
parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
