analysis_id,zo6v633anpaxl52
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
gene_accession_id,MGI:1929242
pvalue,0.7505516
gene_symbol,Ivd
parameter_name,LDL-cholesterol
