analysis_id,5y8qpn77t9j5y66
parameter_name,Eosinophils
pvalue,0.7552191
gene_accession_id,MGI:1921802
mouse_strain,129SV
gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_052_001
