analysis_id,03v24jk8r9a4u0i
mouse_strain,C57BL
parameter_id,MGP_IMM_072_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
gene_symbol,Snap23
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.892467
