gene_symbol,Opn3
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
pvalue,0.6116032
Parameter_name,CV
mouse_life_stage,Early adult
Gene_accession_id,MGI:1338022
analysis_id,tduj3lcal748s7s
