analysis_id,0mu4208341262wb
parameter_id,IMPC_XRY_025_001
pvalue,0.361248
mouse_strain,C57BL
parameter_name,Tibia
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
