parameter_name,Clavicle
analysis_id,009298bzhx48aw7
gene_symbol,Dnajc8
pvalue,0.8294788
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:1915848
