gene_symbol,Trpa1
pvalue,0.6078929
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
analysis_id,f7489je6o98329u
