analysis_id,ai71g34s5txbr84
gene_symbol,Sprr1b
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1035831
gene_accession_id,MGI:106659
parameter_id,MGP_IMM_017_001
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
