parameter_id,IMPC_GRS_008_001
analysis_id,tt3ho9u248e57jk
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8144679
parameter_name,Forelimb grip strength measurement mean
gene_accession_id,MGI:109356
