analysis_id,8428nlj8z93u8i1
pvalue,0.3857826
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
gene_symbol,Cntfr
mouse_strain,C57BL
parameter_name,Light side time spent
gene_accession_id,MGI:99605
