parameter_name,White blood cell count
analysis_id,2x1c2bnmcerg2c1
parameter_id,HMGULA_HEM_001_001
gene_symbol,Trim46
mouse_strain,C57BL
gene_accession_id,MGI:2673000
pvalue,0.7387424
mouse_life_stage,Early adult
