gene_symbol,Trdmt1
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
pvalue,0.4356666
mouse_strain,C57BL
parameter_name,Shape of ribcage
gene_accession_id,MGI:1274787
analysis_id,13qnlj20d2e8ifx
