gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.1774048
parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
analysis_id,z73941vobbw03q1
gene_accession_id,MGI:95835
