parameter_name,Aggression
gene_symbol,Bmi1
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
analysis_id,z6jrv136fx96f2b
parameter_id,IMPC_CSD_079_001
pvalue,0.6669291
