parameter_id,MGP_PBI_009_001
gene_accession_id,MGI:1915678
gene_symbol,Steap3
analysis_id,o81o5r08e7ru981
pvalue,0.1947789
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
