gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.9293757
mouse_life_stage,Early adult
parameter_name,Center distance travelled
analysis_id,00u9188z81jx793
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1914071
