gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1924360
pvalue,0.8223987
mouse_strain,C57BL
analysis_id,4940v8y29fyc0j1
