analysis_id,770586d05ltms28
mouse_strain,129SV
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_id,MGP_IMM_130_001
pvalue,0.3303037
gene_accession_id,MGI:1921802
