analysis_id,zl1u25y90850q38
pvalue,0.8822154
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_name,Center distance travelled
gene_symbol,Pglyrp3
parameter_id,JAX_OFD_014_001
